Id,AVG_steps,AVG_calories
1503960366,12520.6333,1876.9667
1624580081,5743.9032,1483.3548
1644430081,7282.9667,2811.3000
1844505072,3635.5455,1666.0909
1927972279,1577.7778,2251.9444
2022484408,11370.6452,2509.9677
2026352035,5566.8710,1540.6452
2320127002,4716.8710,1724.1613
2347167796,9519.6667,2043.4444
2873212765,7555.7742,1916.9677
3372868164,6861.6500,1933.1000
3977333714,10984.5667,1513.6667
4020332650,4134.3529,2719.9412
4057192912,5117.3333,2039.6667
4319703577,7268.8387,2037.6774
4388161847,10813.9355,3093.8710
4445114986,4796.5484,2186.1935
4558609924,7685.1290,2033.2581
4702921684,8857.8000,2997.1667
5553957443,8612.5806,1875.6774
5577150313,8897.6071,3469.6786
6117666160,8578.6087,2427.4348
6290855005,6553.4800,2768.3600
6775888955,3853.6471,2285.7059
6962181067,9794.8065,1982.0323
7007744171,11776.3600,2583.4800
7086361926,9684.1667,2597.6000
8053475328,14763.2903,2945.8065
8253242879,6842.2778,1887.3333
8378563200,8717.7097,3436.5806
8583815059,7438.4667,2823.1000
8792009665,2687.9000,2085.7500
8877689391,16040.0323,3420.2581
